zipcode,med_income,pop
12944,51910,4339
12945,68728,450
12946,62904,6385
12950,50975,788
12952,50000,399
12953,51040,15269
12955,49620,402
12956,63857,1141
12957,48513,1623
12958,41916,1907
12959,42922,1306
12960,58257,954
12961,53158,162
12962,59063,5291
12964,61923,77
12965,41950,533
12966,44431,2733
12967,43225,1304
12969,50583,358
12970,55758,1261
12972,59085,6202
12973,43247,118
12974,69621,1658
12977,98438,431
12978,44759,386
12979,53494,2262
12980,46379,1486
12981,50379,6207
12983,57822,7304
12985,55145,1081
12986,53378,6094
12987,56984,192
12989,60493,960
12992,51787,4849
12993,54079,1611
12996,51245,1974
12997,68113,1347
12998,55542,467
13021,51485,40229
13026,68965,1709
13027,74759,32816
13028,57708,1291
13029,76880,7403
13030,78061,3834
13031,77337,15755
13032,62600,13069
13033,66068,3452
13034,61280,1832
13035,79928,8087
13036,55563,8830
13037,76322,8633
13039,87008,17824
13040,55262,2849
13041,88156,11300
13042,51189,2802
13044,57905,2534
13045,51540,29439
13052,57025,1844
13053,69887,5750
13054,60644,1410
13057,61513,14675
13060,67221,3138
13061,77164,1143
13063,84766,1953
13066,92114,12539
13068,68286,5718
13069,49160,23513
13071,65550,957
13072,56980,984
13073,66107,6499
13074,58588,4411
13076,60901,2045
13077,67459,6657
13078,98083,10195
13080,66367,3415
13081,70645,1145
13082,74167,4827
13083,52708,2098
13084,78923,4467
13088,59325,22132
13090,74653,30194
13092,65172,2847
13101,68451,2319
13103,51305,504
13104,110471,15964
13108,80688,5875
13110,78208,2194
13111,61011,1591
13112,74773,1782
13114,58122,6271
13116,65810,3391
13118,64282,5995
13120,84116,2187
13122,84545,1307
13123,56801,54
13124,47736,118
13126,51694,36247
13131,60941,3646
13132,65498,4048
13135,58350,6265
13136,48356,480
13140,56564,4382
13141,64420,708
13142,48784,6308
13143,50712,2830
13144,52302,1333
13145,49419,1816
13146,52495,2248
13147,75981,1363
13148,53125,10452
13152,96322,8124
13155,49322,693
13156,58190,2006
13157,42305,428
13158,51791,1360
13159,75182,5267
13160,73312,1941
13162,55678,347
13164,83366,2444
13165,52892,10458
13166,58981,5289
13167,57096,3044
13202,23128,5660
13203,33177,16040
13204,35483,19606
13205,34151,18545
13206,44748,15887
13207,49844,12936
13208,37528,21995
13209,59372,12725
13210,28878,27634
13211,50319,6426
13212,60421,19957
13214,75322,8501
13215,87084,15480
13219,69930,14713
13224,56760,8607
13244,,0
13301,60338,75
13302,54391,1577
13303,63367,1220
13304,72096,1720
13308,50864,3678
13309,52571,6243
13310,63588,734
13315,53142,1277
13316,46173,6857
13317,55702,3690
13318,49674,1562
13319,57731,828
13320,60343,1837
13321,58903,628
13322,59766,1284
13323,65800,11619
13324,48459,2254
13325,58881,860
13326,67468,4963
13327,51471,2034
13328,56946,1276
13329,45621,4075
13331,55616,681
13332,56490,2511
13333,57022,143
13334,62131,1391
13335,60612,1439
13337,65229,701
13338,50717,1144
13339,45280,6444
13340,53956,7970
13342,52254,188
13343,54853,1789
13345,44577,416
13346,77427,6737
13348,50765,1403
13350,46625,9696
13353,47117,56
13354,72983,3011
13355,61630,821
13357,47208,10558
13360,42961,285
13361,54602,702
13363,62116,2246
13365,48073,8511
13367,57461,8665
13368,48346,1006
13402,60124,1447
13403,77418,7208
13406,62030,443
13407,53656,5236
13408,63821,3840
13409,62806,2366
13411,45664,3238
13413,67843,15692
13415,55148,109
13416,56347,2578
13417,38421,3006
13418,59785,233
13420,74058,1169
13421,56915,13629
13424,56713,2615
13425,51162,2068
13428,55060,1890
13431,66569,1961
13433,45593,1582
13435,67368,293
13437,55429,507
13438,55870,3710
13439,53916,3959
13440,50108,41759
13441,38505,352
13450,62391,209
13452,43965,4665
13454,50000,581
13456,62436,4158
13459,55102,2100
13460,45395,4061
13461,59981,2991
13464,48447,1325
13468,55046,445
13469,71132,680
13470,43252,686
13471,51507,3311
13473,56867,750
13476,59648,3374
13477,54483,1114
13478,62383,2889
13480,51008,3644
13482,52437,53
13483,47998,240
13485,53562,1662
13486,60339,647
13488,54490,148
13489,51057,459
13490,73069,1234
13491,60016,3525
13492,67884,11309
13493,56328,1902
13494,50000,235
13495,45884,2109
13501,33270,38315
13502,39283,32576
13601,49483,36490
13602,50060,5602
13603,44000,9198
13605,60123,4629
13606,57122,2249
13607,47034,1760
13608,57285,1449
13611,59785,278
13612,62075,2667
13613,46968,2459
13614,50000,263
13615,62379,664
13616,53541,1769
13617,52045,11395
13618,52171,1676
13619,56020,10770
